Year,Fossil,Coal,Oil,Gas,Cement,Flaring
1959,2415,1349,794,207,40,25
1960,2548,1400,852,228,43,24
1961,2553,1342,902,241,45,24
1962,2644,1338,970,264,48,23
1963,2794,1392,1039,286,51,25
1964,2939,1418,1119,315,56,31
1965,3076,1441,1204,337,59,36
1966,3219,1454,1296,366,63,39
1967,3322,1431,1382,392,65,52
1968,3503,1447,1505,427,70,56
1969,3737,1502,1628,467,73,67
1970,4047,1550,1854,490,77,76
1971,4210,1551,1961,529,82,88
1972,4406,1549,2115,561,87,95
1973,4640,1593,2262,583,92,110
1974,4620,1596,2230,595,92,107
1975,4613,1631,2201,599,91,92
1976,4858,1704,2315,634,97,108
1977,4991,1740,2400,646,102,104
1978,5174,1793,2488,680,108,106
1979,5312,1860,2526,718,110,98
1980,5286,1915,2435,739,110,86
1981,5142,1903,2316,748,110,65
1982,5104,1938,2261,732,110,64
1983,5152,1996,2242,744,112,58
1984,5302,2081,2253,803,114,51
1985,5490,2232,2257,836,115,50
1986,5568,2257,2325,820,120,46
1987,5749,2338,2352,889,125,45
1988,5968,2418,2435,932,133,51
1989,6057,2424,2475,981,136,41
1990,6195,2380,2516,1054,136,68
1991,6324,2358,2641,1075,140,72
1992,6126,2299,2500,1083,146,63
1993,6191,2326,2507,1112,152,62
1994,6235,2340,2517,1122,162,63
1995,6368,2408,2542,1152,171,63
1996,6564,2466,2626,1203,174,64
1997,6602,2453,2667,1207,180,65
1998,6581,2388,2694,1227,179,62
1999,6668,2369,2758,1263,187,60
2000,6856,2456,2806,1295,195,72
2001,6914,2470,2830,1308,204,73
2002,7072,2576,2827,1347,215,76
2003,7417,2787,2899,1394,231,76
2004,7770,2969,3000,1439,247,82
2005,8027,3149,3022,1474,261,88
2006,8290,3328,3046,1508,285,88
2007,8541,3487,3063,1559,306,92
2008,8719,3619,3057,1603,310,96
2009,8587,3574,2999,1573,319,94
2010,9043,3802,3081,1694,339,96
2011,9337,4025,3083,1739,364,94
2012,9487,4067,3145,1773,374,95
2013,9549,4072,3174,1785,390,95
2014,9619,4079,3205,1799,405,98
2015,9610,3991,3252,1846,390,99
2016,9613,3920,3267,1894,399,101
2017,9742,3934,3323,1942,403,110
2018,9940,3990,3344,2044,413,117
2019,9946,3920,3372,2079,427,117
