,Age,Gender,Race,Date,City,State,Zipcode,County,Agency responsible for death,Cause of death,A brief description of the circumstances surrounding the death,Official disposition of death (justified or other),Criminal Charges,Symptoms of mental illness,Unarmed,Alleged weapon,Alleged threat,Fleeing,Body camera,Off-Duty Killing?,Geography,year,month
0,28,Male,White,2019-12-31,Globe,AZ,85501.0,Gila,Globe Police Department,Gunshot,"After midnight, a patrol officer was on routine patrol in the downtown business district. He stopped to talk to a man, but another man approached and threatened him with a knife. Officer Justin Reynolds shot and killed Eric Tellez.",Pending investigation,No known charges,No,Allegedly Armed,knife,other,not fleeing,no,,Rural,2019,12
1,,Male,Unknown race,2019-12-31,Memphis,AR,38103.0,Crittenden,"Memphis Police Department, Arkansas State Police",Gunshot,"Police began a chase regarding a kidnapping, eventually forcing the vehicle into a concrete median, a passenger fled on foot and was shot and killed by police. Details as to what precipitated the killing were withheld by police.",Pending investigation,No known charges,No,Unclear,unclear,other,,,,Urban,2019,12
2,57,Male,Black,2019-12-31,Omaha,NE,68110.0,Douglas,Omaha Police Department,Gunshot,"Police responded to a domestic incident on the fifth floor of Evans Tower just after 10 p.m. When they arrived, a woman, Dana Wells, 57, was reportedly screaming. When police broke into the house, Terry Hudson, 58, shot and killed Wells, and police shot and killed Hudson when he came out of the apartment.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,not fleeing,no,,Urban,2019,12
3,23,Male,Black,2019-12-31,Federal Way,WA,98003.0,King,Federal Way Police Department,Gunshot,"Police responded to a domestic dispute. Police and a man exchanged gunfire, and the man was killed.",Pending investigation,No known charges,No,Allegedly Armed,gun,attack,not fleeing,no,,Suburban,2019,12
4,37,Male,Black,2019-12-31,Chesterfield,MO,63005.0,St. Louis,Chesterfield Police Department,Gunshot,"Police went to Chesterfield Outlets about 1 p.m. in response to a call about suspicious individuals. A person reportedly hit an officer with a vehicle, and the officer shot and killed him.",Pending investigation,No known charges,No,Vehicle,vehicle,attack,car,no,,Suburban,2019,12
5,49,Male,White,2019-12-31,Cross Lanes,WV,25313.0,Kanawha,Kanawha County Sheriff's Department,Gunshot,Deputies responded to a disturbance on Dawn Street at 11:30 p.m. Tuesday. Deputies were trying to talk to Davis when he started to walk away. Davis allegedly fired at least one shot at the deputies and the deputies fired back.,Pending investigation,No known charges,No,Allegedly Armed,gun,attack,Foot,No,,Suburban,2019,12
6,47,Male,Unknown race,2019-12-31,Blue Mountain,MS,38610.0,Tippah,Mississippi Highway Patrol,Gunshot,A chase started on the Benton County-Union County line and ended in Tippah County with a crash and Brian Elkins being shot and killed by a trooper. Details as to what precipitated the killing were withheld by police.,Pending investigation,No known charges,No,Unclear,unclear,other,car,no,,Rural,2019,12
7,51,Female,White,2019-12-30,Wichita,KS,67207.0,Sedgwick,Sedgwick County Sheriff’s Office,Gunshot,"Police attempted to stop a woman and after a chase with stop sticks and attempting to disable the vehicle, the woman reportedly drove at deputies, and one shot and killed her.",Pending investigation,No known charges,No,Vehicle,vehicle,attack,car,no,,Suburban,2019,12
8,,Male,Unknown race,2019-12-30,Houston,TX,77033.0,Harris,"Houston Police Department, Pasadena Police Department",Gunshot,"During a traffic stop, police discovered that the red Toyota the men were in had reportedly been stolen during an aggravated robbery two days prior. The people in the car took off, and police chased the car out of Pasadena and into Houston, where Houston police joined. The chase ended 15 minutes later when the car crashed with a Pasadena police car. After the crash, three men ran from the car. As they were running, four officers shot and killed one person who reportedly had a gun.",Pending investigation,No known charges,No,Allegedly Armed,gun,,,,,Urban,2019,12
9,27,Male,White,2019-12-30,Fulton,MO,65251.0,Callaway,Fulton Police Department,Gunshot,Police shot and killed Cody McCaulou at approximately 9:47 a.m. behind McIntire Elementary School. Police responded to a call about suspicious activity. Details as to what precipitated the killing were withheld by police.,Pending investigation,No known charges,No,Vehicle,vehicle,attack,car,no,,Rural,2019,12
